Gene	Gene synonym	Ensembl
FURIN	FUR, PACE, PCSK3, SPC1	ENSG00000140564
IQGAP1	HUMORFA01, KIAA0051, p195, SAR1	ENSG00000140575
CRTC3	FLJ21868	ENSG00000140577
EFL1	EFTUD1, FAM42A, FLJ13119, HsT19294, RIA1	ENSG00000140598
SH3GL3	CNSA3, EEN-B2, HsT19371, SH3D2C, SH3P13	ENSG00000140600
SEC11A	SEC11L1, sid2895, SPC18, SPCS4A	ENSG00000140612
SEPTIN12	FLJ25410, SEPT12	ENSG00000140623
GLYR1	BM045, HIBDL, N-PAC, NP60	ENSG00000140632
PMM2	CDG1, CDG1a, CDGS, PMI, PMI1	ENSG00000140650
SLC5A2	SGLT2	ENSG00000140675
ITGAX	CD11C	ENSG00000140678
TGFB1I1	ARA55, Hic-5, TSC-5	ENSG00000140682
RUSF1	C16orf58, FLJ13868	ENSG00000140688
ARMC5	FLJ13063	ENSG00000140691
PARN	DAN	ENSG00000140694
FTO	ALKBH9, KIAA1752, MGC5149	ENSG00000140718
UQCRC2	QCR2, UQCR2	ENSG00000140740
CDR2	CDR62, Yo	ENSG00000140743
IGSF6	DORA	ENSG00000140749
ARHGAP17	FLJ10308, FLJ13219, NADRIN, RICH1, WBP15	ENSG00000140750
MYLK3	caMLCK, MLCK	ENSG00000140795
ABCC12	MRP9	ENSG00000140798
NKD1		ENSG00000140807
DHX38	DDX38, hPrp16, KIAA0224, PRP16, PRPF16	ENSG00000140829
TXNL4B	Dim2, DLP, FLJ20511	ENSG00000140830
MARVELD3	MRVLDC3	ENSG00000140832
CHST4	HEC-GLCNAC-6-ST, LSST	ENSG00000140835
ZFHX3	ATBF1, C16orf47, FLJ26184, ZNF927	ENSG00000140836
CLEC18B	MRCL2	ENSG00000140839
CPNE2	CPN2	ENSG00000140848
NLRC5	CLR16.1, FLJ21709, NOD27	ENSG00000140853
KATNB1		ENSG00000140854
KIFC3		ENSG00000140859
ADAMTS18	ADAMTS21	ENSG00000140873
NUDT7		ENSG00000140876
GCSH		ENSG00000140905
CMTM3	BNAS2, CKLFSF3, FLJ31762	ENSG00000140931
CMTM2	CKLFSF2, FLJ25732, MGC39436	ENSG00000140932
CDH11	CAD11, OB	ENSG00000140937
NOL3	ARC, CARD2, MYP, NOP30	ENSG00000140939
MAP1LC3B	ATG8F	ENSG00000140941
MBTPS1	KIAA0091, PCSK8, S1P, SKI-1	ENSG00000140943
CDH13	CDHH	ENSG00000140945
ZCCHC14	BDG29, MGC14139	ENSG00000140948
MEAK7	KIAA1609, mEAK-7, TLDC1	ENSG00000140950
ADAD2	FLJ00337, TENRL	ENSG00000140955
OSGIN1	BDGI, OKL38	ENSG00000140961
IRF8	ICSBP, ICSBP1, IRF-8	ENSG00000140968
RHOT2	ARHT2, C16orf39, MIRO-2, MIRO2	ENSG00000140983
RPL3L		ENSG00000140986
ZSCAN32	FLJ20417, ZNF434	ENSG00000140987
RPS2	LLREP3, S2	ENSG00000140988
NDUFB10	PDSW	ENSG00000140990
PDPK1	PDK1	ENSG00000140992
TIGD7	Sancho	ENSG00000140993
DEF8	FLJ20186	ENSG00000140995
TCF25	KIAA1049, Nulp1	ENSG00000141002
GALNS	GalN6S, GALNAC6S, GAS	ENSG00000141012
GAS8	DRC4, GAS11	ENSG00000141013
MED9	FLJ10193, MED25	ENSG00000141026
NCOR1	hCIT529I10, hN-CoR, KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1	ENSG00000141027
COPS3	CSN3, SGN3	ENSG00000141030
GID4	C17orf39, VID24	ENSG00000141034
ZNF287	ZKSCAN13, ZSCAN45	ENSG00000141040
MYOCD	MYCD	ENSG00000141052
KSR1	KSR, RSU2	ENSG00000141068
UTP4	CIRH1A, CIRHIN, FLJ14728, KIAA1988, NAIC, TEX292	ENSG00000141076
RANBP10	KIAA1464	ENSG00000141084
CTRL		ENSG00000141086
DPEP3		ENSG00000141096
GFOD2	FLJ23802, MGC11335	ENSG00000141098
NOB1	ART-4, MST158, NOB1P, PSMD8BP1	ENSG00000141101
PRPSAP2	PAP41	ENSG00000141127
UNC45B	CMYA4, UNC45	ENSG00000141161
PCTP	STARD2	ENSG00000141179
OR4D1	OR4D3, TPCR16	ENSG00000141194
TOM1L1	SRCASM	ENSG00000141198
KIF2B		ENSG00000141200
C17orf80	FLJ20721, HLC-8, MIG3, SPEP1	ENSG00000141219
TOB1	APRO5, TOB, TROB, TROB1	ENSG00000141232
VPS53	FLJ10979, HCCS1	ENSG00000141252
SPATA22	NYD-SP20	ENSG00000141255
SGSM2	KIAA0397, RUTBC1	ENSG00000141258
NPEPPS	MP100, PSA	ENSG00000141279
SKAP1	SCAP1, SKAP55	ENSG00000141293
LRRC46	MGC16309	ENSG00000141294
SCRN2		ENSG00000141295
SSH2	KIAA1725	ENSG00000141298
RHBDL3	RHBDL4, VRHO	ENSG00000141314
SPACA3	ALLP17, CT54, LYC3, LYZL3, SLLP1	ENSG00000141316
ARSG	KIAA1001	ENSG00000141337
ABCA8	KIAA0822	ENSG00000141338
G6PC3	UGRP	ENSG00000141349
CLTC	CLTCL2, Hc	ENSG00000141367
CHCT1	C17orf64	ENSG00000141371
BCAS3	FLJ20128, PHAF2	ENSG00000141376
PTRH2	BIT1, CFAP37, CGI-147, PTH2	ENSG00000141378
SS18	SMARCL1, SSXT, SYT	ENSG00000141380
TAF4B	TAF2C2, TAFII105	ENSG00000141384
AFG3L2	SCA28, SPAX5	ENSG00000141385
PRELID3A	C18orf43, FLJ31484, HFL-EDDG1, SLMO1	ENSG00000141391
IMPA2		ENSG00000141401
GNAL		ENSG00000141404
SLC39A6	LIV-1	ENSG00000141424
RPRD1A	FLJ10656, HsT3101, P15RS	ENSG00000141425
C18orf21	HsT3108, PNAS-124, PNAS-131	ENSG00000141428
GALNT1	GalNAc-T1	ENSG00000141429
ASXL3	KIAA1713	ENSG00000141431
ADCYAP1	PACAP	ENSG00000141433
MEP1B		ENSG00000141434
SLC25A52	MCART2	ENSG00000141437
GAREM1	C18orf11, FAM59A, FLJ21610, GAREM	ENSG00000141441
ESCO1	EFO1, ESO1, KIAA1911	ENSG00000141446
OSBPL1A	ORP-1, ORP1, OSBPL1B	ENSG00000141447
GATA6		ENSG00000141448
GREB1L	C18orf6, FLJ13687, KIAA1772	ENSG00000141449
RMC1	C18orf8, HsT2591, MIC1, WDR98	ENSG00000141452
PELP1	MNAR	ENSG00000141456
NPC1	SLC65A1	ENSG00000141458
SLC14A1	HsT1341, JK, RACH1, RACH2	ENSG00000141469
ARRB2	ARR2, BARR2, DKFZp686L0365	ENSG00000141480
SLC13A5	INDY, NACT	ENSG00000141485
ZMYND15	DKFZp434N127	ENSG00000141497
WRAP53	FLJ10385, TCAB1, WDR79	ENSG00000141499
MINK1	B55, MAP4K6, MINK, YSK2, ZC3	ENSG00000141503
SAT2	SSAT2	ENSG00000141504
ASGR1	CLEC4H1	ENSG00000141505
PIK3R5	p101, P101-PI3K	ENSG00000141506
TP53	LFS1, p53	ENSG00000141510
CCDC40	CFAP172, CILD15, FAP172, FLJ20753, FLJ32021, KIAA1640	ENSG00000141519
ARHGDIA	GDIA1, RHOGDI	ENSG00000141522
TMC6	EVER1, EVIN1, LAK-4P, TNRC6C-AS1	ENSG00000141524
SLC16A3	MCT3, MCT4	ENSG00000141526
CARD14	BIMP2, CARMA2, PSORS2	ENSG00000141527
TTYH2	C17orf29	ENSG00000141540
RAB40B	RAR, SEC4L	ENSG00000141542
EIF4A3	DDX48, EIF4AIII, Fal1, KIAA0111	ENSG00000141543
CSNK1D	CKID, CKIdelta, HCKID	ENSG00000141551
ANAPC11	APC11, Apc11p, HSPC214, MGC882	ENSG00000141552
TBCD		ENSG00000141556
FN3KRP	FLJ12171, FN3KL	ENSG00000141560
NARF	DKFZp434G0420, FLJ10067, IOP2	ENSG00000141562
RPTOR	KIAA1303, KOG1, Mip1, raptor	ENSG00000141564
FOXK2	ILF, ILF1	ENSG00000141568
TRIM65		ENSG00000141569
CBX8	HPC3, PC3, RC1	ENSG00000141570
SECTM1	K12	ENSG00000141574
RNF157	KIAA1917	ENSG00000141576
CEP131	AZ1, AZI1, KIAA1118	ENSG00000141577
ZNF750	FLJ13841, Zfp750	ENSG00000141579
WDR45B	WDR45L, WIPI3	ENSG00000141580
CBX4	hPC2, NBP16, PC2	ENSG00000141582
RNF165	Ark2C, ARKL2, lncAMPC, RNF111L2	ENSG00000141622
DYM	DMC, FLJ20071, SMC	ENSG00000141627
MAPK4	Erk3-related, Erk4, PRKM4	ENSG00000141639
ELAC1	D29	ENSG00000141642
MBD1	CXXC3, PCM1	ENSG00000141644
SMAD4	DPC4, MADH4	ENSG00000141646
TNFRSF11A	CD265, FEO, LOH18CR1, ODFR, PDB2, RANK, TRANCE-R	ENSG00000141655
ZCCHC2	C18orf49, FLJ20222, FLJ20281, KIAA1744	ENSG00000141664
FBXO15	FBX15, MGC39671	ENSG00000141665
CBLN2		ENSG00000141668
PMAIP1	APR, NOXA	ENSG00000141682
P3H4	LEPREL4, NO55, SC65	ENSG00000141696
NT5C3B	cN-IIIB, MGC20781, NT5C3L	ENSG00000141698
RETREG3	DKFZp686B1036, FAM134C, FLJ33806	ENSG00000141699
ERBB2	c-ERB-2, c-ERB2, CD340, HER-2, HER2, MLN-19, NEU, NGL, p185(erbB2)	ENSG00000141736
GRB7		ENSG00000141738
MIEN1	C17orf37, C35, MGC14832, ORB3, Rdx12, XTP4	ENSG00000141741
PNMT	PENT	ENSG00000141744
ARL5C	ARL12	ENSG00000141748
STAC2	24b2	ENSG00000141750
IGFBP4	BP-4, HT29-IGFBP, IBP4, IGFBP-4	ENSG00000141753
FKBP10	FKBP6, FKBP65, FLJ20683, FLJ22041, FLJ23833, hFKBP65	ENSG00000141756
TXNL4A	DIB1, DIM1, HsT161, SNRNP15, TXNL4, U5-15kD	ENSG00000141759
CACNA1A	APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6	ENSG00000141837
MISP3		ENSG00000141854
SAMD1		ENSG00000141858
BRD4	CAP, HUNK1, HUNKI, MCAP	ENSG00000141867
SLC39A3	ZIP3	ENSG00000141873
NFIC	CTF, CTF5, NF-I, NFI	ENSG00000141905
TPGS1	C19orf20, GTRGEO22, PGs1	ENSG00000141933
PLPP2	LPP2, PAP-2c, PPAP2C	ENSG00000141934
ZIM3	ZNF657	ENSG00000141946
PRDM15	C21orf83, ZNF298	ENSG00000141956
PFKL		ENSG00000141959
FEM1A		ENSG00000141965
VAV1	VAV	ENSG00000141968
MVB12A	FAM125A, FLJ32495	ENSG00000141971
CIB3	KIP3	ENSG00000141977
SH3GL1	CNSA1, EEN, MGC111371, SH3D2B, SH3P8	ENSG00000141985
DUS3L	DUS3, FLJ13896	ENSG00000141994
DPP9		ENSG00000142002
DMRTC2		ENSG00000142025
CCDC97	FLJ40267, MGC20255	ENSG00000142039
TMEM91	DSPC3, FLJ27310, IFITMD6	ENSG00000142046
ZFP14	KIAA1559, ZNF531	ENSG00000142065
SIRT3	SIR2L3	ENSG00000142082
IFITM3	1-8U, DSPA2b	ENSG00000142089
PGGHG	ATHL1, FLJ22635	ENSG00000142102
HUNK		ENSG00000142149
COL6A1		ENSG00000142156
IFNAR1	IFNAR, IFRC	ENSG00000142166
SOD1	ALS, ALS1, IPOA	ENSG00000142168
COL6A2		ENSG00000142173
SIK1	msk, SNF1LK	ENSG00000142178
DNMT3L	MGC1090	ENSG00000142182
TRPM2	EREG1, KNP3, LTRPC2, NUDT9H, NUDT9L1, TRPC7	ENSG00000142185
SCYL1	GKLP, HT019, MGC78454, NKTL, NTKL, P105, TAPK, TEIF, TRAP	ENSG00000142186
TMEM50B	C21orf4	ENSG00000142188
APP	AD1, alpha-sAPP	ENSG00000142192
DOP1B	C21orf5, DOPEY2, KIAA0933	ENSG00000142197
URB1	C21orf108, KIAA0539, NPA1	ENSG00000142207
AKT1	AKT, PKB, PRKBA, RAC, RAC-alpha	ENSG00000142208
IL19	IL-10C, IL-19, MDA1, NG.1, ZMDA1	ENSG00000142224
EMP3	YMP	ENSG00000142227
SAE1	AOS1, FLJ3091, Sua1	ENSG00000142230
NTN5		ENSG00000142233
LMTK3	KIAA1883, LMR3, PPP1R101, TYKLM3	ENSG00000142235
GEMIN7	FLJ13956	ENSG00000142252
CBLC	CBL-3, CBL-SL, RNF57	ENSG00000142273
WTIP		ENSG00000142279
ADAMTS10	ADAM-TS10	ENSG00000142303
SLC6A3	DAT, DAT1	ENSG00000142319
RNPEPL1		ENSG00000142327
CAPN10		ENSG00000142330
MYO1F		ENSG00000142347
ERVK3-1	HERV-K(HML6-1)	ENSG00000142396
NLRP12	CLR19.3, Monarch1, NALP12, PAN6, PYPAF7, RNO2	ENSG00000142405
CACNG8		ENSG00000142408
ZNF787		ENSG00000142409
TIMM29	C19orf52, TIM29	ENSG00000142444
FBN3	KIAA1776	ENSG00000142449
CARM1	PRMT4	ENSG00000142453
EVI5L		ENSG00000142459
TM4SF5		ENSG00000142484
SLC47A1	FLJ10847, MATE1	ENSG00000142494
PSMB6	DELTA, Y	ENSG00000142507
GPR32	RVDR1	ENSG00000142511
SIGLEC10	MGC126774, PRO940, SIGLEC-10, SLG2	ENSG00000142512
ACP4	ACPT	ENSG00000142513
KLK3	APS, PSA	ENSG00000142515
ZNF473	DKFZP434N043, HZFP100, KIAA1141	ENSG00000142528
GARIN5A	FAM71E1, GARIL5	ENSG00000142530
RPS11	S11	ENSG00000142534
PTH2	TIP39	ENSG00000142538
ENSG00000142539		ENSG00000142539
RPL13A	L13A, TSTA1	ENSG00000142541
CTU1	ATPBD3, MGC17332, NCS6	ENSG00000142544
NOSIP	CGI-25	ENSG00000142546
IGLON5	LOC402665	ENSG00000142549
RCN3	RLP49	ENSG00000142552
ZNF614	FLJ21941	ENSG00000142556
SLC2A5	GLUT5	ENSG00000142583
RERE	ARG, ARP, ATN1L, ATN2, DNB1, KIAA0458	ENSG00000142599
MMEL1	MMEL2, NEPII, NL1, NL2, SEP	ENSG00000142606
CFAP74	C1orf222, FLJ45476, KIAA1751	ENSG00000142609
PRDM16	KIAA1675, KMT8F, MEL1, MGC166915, PFM13	ENSG00000142611
CELA2A	ELA2A	ENSG00000142615
PADI3	PDI3	ENSG00000142619
FHAD1	KIAA1937	ENSG00000142621
PADI1	HPAD10, PAD1, PDI, PDI1	ENSG00000142623
EPHA2	ECK	ENSG00000142627
ARHGEF19	FLJ33962, WGEF	ENSG00000142632
EFHD2	MGC4342	ENSG00000142634
PEX14		ENSG00000142655
PGD		ENSG00000142657
MYOM3	FLJ35961	ENSG00000142661
SH3BGRL3		ENSG00000142669
CNKSR1	CNK, CNK1, KSR	ENSG00000142675
RPL11	L11, uL5	ENSG00000142676
IL22RA1	CRF2-9, IL22R	ENSG00000142677
ZNF593	ZT86	ENSG00000142684
C1orf216	FLJ38984	ENSG00000142686
KIAA0319L	AAVR, KIAA1837	ENSG00000142687
EVA1B	C1orf78, FAM176B, FLJ10647	ENSG00000142694
C1orf94	MGC15882	ENSG00000142698
DMRTA2		ENSG00000142700
PLK4	Sak, STK18	ENSG00000142731
MAP3K6	ASK2, MAPKKK6, MEKK6	ENSG00000142733
FCN3	FCNH, HAKA1	ENSG00000142748
GPN2	ATPBD1B, FLJ10349	ENSG00000142751
SYTL1	exophilin-7, FLJ14996, JFC1, SLP1	ENSG00000142765
WDTC1	ADP, DCAF9, KIAA1037	ENSG00000142784
CELA3A	ELA3, ELA3A	ENSG00000142789
NBPF3	AE2	ENSG00000142794
HSPG2	perlecan, PRCAN, SJS1	ENSG00000142798
ITGB3BP	CENPR, HSU37139, NRIF3, TAP20	ENSG00000142856
SERBP1	CGI-55, CHD3IP, DKFZP564M2423, HABP4L, PAI-RBP1, PAIRBP1	ENSG00000142864
BCL10	c-E10, CARMEN, CIPER, CLAP, mE10	ENSG00000142867
CCN1	CYR61, GIG1, IGFBP10	ENSG00000142871
PRKACB	PKACb	ENSG00000142875
PIGK	GPI8, hGPI8	ENSG00000142892
TINAGL1	ARG1, LCN7, LIECG3, P3ECSL, TINAGRP	ENSG00000142910
AZIN2	ADC, KIAA1945, ODC-p, ODC1L, ODCp	ENSG00000142920
RPS8	S8	ENSG00000142937
KIF2C	CT139, KNSL6, MCAK	ENSG00000142945
PTPRF	LAR	ENSG00000142949
BEST4	VMD2L2	ENSG00000142959
MOB3C	MOB1E, MOBKL2C	ENSG00000142961
CYP4B1		ENSG00000142973
TMEM61		ENSG00000143001
DMRTB1		ENSG00000143006
LMO4		ENSG00000143013
SYPL2	Mg29	ENSG00000143028
BARHL2		ENSG00000143032
MTF2	M96, PCL2, TDRD19A	ENSG00000143033
SLC44A3	CTL3, MGC45474	ENSG00000143036
IGSF3	EWI-3, MGC117164, V8	ENSG00000143061
ZNF697	MGC45731	ENSG00000143067
CTTNBP2NL	DKFZp547A023	ENSG00000143079
STRIP1	FAM40A, FAR11A, FLJ14743, KIAA1761	ENSG00000143093
KCNA10	Kv1.8	ENSG00000143105
PSMA5	ZETA	ENSG00000143106
FNDC7	FLJ35838	ENSG00000143107
C1orf162	MGC24133	ENSG00000143110
CD53	MOX44, TSPAN25	ENSG00000143119
PROK1	EGVEGF, PK1, PRK1	ENSG00000143125
CELSR2	ADGRC2, CDHF10, EGFL2, Flamingo1, KIAA0279, MEGF3	ENSG00000143126
ITGA10		ENSG00000143127
GPR161	RE2	ENSG00000143147
ALDH9A1	ALDH4, ALDH7, ALDH9, E3	ENSG00000143149
ATP1B1	ATP1B	ENSG00000143153
TIPRL	dJ69E11.3, MGC3794, TIP41, TIPRL1	ENSG00000143155
NME7	CFAP67, FLJ37194, NM23-H7	ENSG00000143156
POGK	BASS2, KIAA15131, KRBOX2, LST003	ENSG00000143157
MPC2	BRP44, DKFZP564B167, SLC54A2	ENSG00000143158
CREG1	CREG	ENSG00000143162
DCAF6	IQWD1, PC326	ENSG00000143164
GPA33	A33	ENSG00000143167
RXRG	NR2B3, RXR-gamma, RXRgamma	ENSG00000143171
TBX19	dj747L4.1, TPIT	ENSG00000143178
UCK2	UMPK	ENSG00000143179
TMCO1	HP10122, TMCC4	ENSG00000143183
XCL1	ATAC, LPTN, LTN, SCM-1, SCM-1a, SCYC1	ENSG00000143184
XCL2	SCM-1b, SCYC2	ENSG00000143185
POU2F1	OCT1, OTF1	ENSG00000143190
MAEL	CT128, FLJ14904, SPATA35	ENSG00000143194
ILDR2	C1orf32	ENSG00000143195
DPT		ENSG00000143196
MGST3	GST-III	ENSG00000143198
ADCY10	HCA2, RP1-313L4.2, SAC, SACI, Sacy	ENSG00000143199
COP1	CFAP78, FAP78, FLJ10416, RFWD2, RNF200	ENSG00000143207
NECTIN4	LNIR, nectin-4, PRR4, PVRL4	ENSG00000143217
UFC1	HSPC155	ENSG00000143222
PPOX	PPO, VP	ENSG00000143224
FCGR2A	CD32, CD32A, CDw32, Fc-gamma-RIIa, FCG2, FcgammaRIIa, FCGR2, FCGR2A1, IGFR2	ENSG00000143226
NUF2	CDCA1, CT106, NUF2R	ENSG00000143228
RGS5		ENSG00000143248
SDHC	CYB560, cybL, PGL3	ENSG00000143252
PFDN2		ENSG00000143256
NR1I3	CAR, CAR1, MB67	ENSG00000143257
USP21	USP16, USP23	ENSG00000143258
F13B	FXIIIB	ENSG00000143278
PRCC	RCCP1	ENSG00000143294
FCRL5	BXMAS1, CD307e, FCRH5, IRTA2	ENSG00000143297
METTL25B	C1orf66, CGI-41, RRNAD1	ENSG00000143303
MRPL24	MRP-L18	ENSG00000143314
PIGM	GPI-MT-I	ENSG00000143315
CASQ1	CASQ, PDIB1	ENSG00000143318
ISG20L2	FLJ12671	ENSG00000143319
CRABP2	CRABP-II	ENSG00000143320
HDGF	HMG1L2	ENSG00000143321
ABL2	ABLL, ARG	ENSG00000143322
XPR1	SLC53A1, SYG1, X3	ENSG00000143324
RGS16	A28-RGS14, RGS-r	ENSG00000143333
TOR1AIP1	FLJ13142, LAP1, LAP1B, LAP1C	ENSG00000143337
FAM163A	C1orf76, MGC16664, NDSP	ENSG00000143340
HMCN1	ARMD1, FBLN6, FIBL-6, FIBL6	ENSG00000143341
RGL1	RGL	ENSG00000143344
LYPLAL1	Q96AV0	ENSG00000143353
LHX9		ENSG00000143355
PRUNE1	DRES-17, H-PRUNE, HTCD37, PRUNE	ENSG00000143363
RORC	NR1F3, RORG, RZRG, TOR	ENSG00000143365
TUFT1		ENSG00000143367
SF3B4	Hsh49, SAP49, SF3b49	ENSG00000143368
ECM1		ENSG00000143369
ZNF687	KIAA1441	ENSG00000143373
TARS2	FLJ12528, TARSL1	ENSG00000143374
CGN	KIAA1319	ENSG00000143375
SNX27	KIAA0488, MGC20471, MY014	ENSG00000143376
SETDB1	ESET, KG1T, KIAA0067, KMT1E, TDRD21	ENSG00000143379
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382
MCL1	BCL2L3, Mcl-1	ENSG00000143384
CTSK	CTSO, CTSO2, PKND, PYCD	ENSG00000143387
RFX5		ENSG00000143390
PI4KB	PI4K-BETA, pi4K92, PIK4CB	ENSG00000143393
PIP5K1A		ENSG00000143398
ANP32E	LANP-L, LANPL, MGC5350	ENSG00000143401
MINDY1	FAM63A, FLJ11280, MINDY-1	ENSG00000143409
ANXA9	ANX31	ENSG00000143412
SELENBP1	hSBP, hSP56, LPSB	ENSG00000143416
CERS2	FLJ10243, LASS2, SP260	ENSG00000143418
ENSA	ARPP-19e, MGC4319, MGC78563, MGC8394	ENSG00000143420
SEMA6C	KIAA1869, Sema-Y	ENSG00000143434
MRPL9		ENSG00000143436
ARNT	bHLHe2, HIF-1beta	ENSG00000143437
POGZ	KIAA0461, ZNF280E, ZNF635	ENSG00000143442
C1orf56	FLJ20519, MENT	ENSG00000143443
OAZ3		ENSG00000143450
HORMAD1	CT46, DKFZP434A1315	ENSG00000143452
GOLPH3L	GPP34R	ENSG00000143457
GABPB2	MGC29891	ENSG00000143458
SYT14	FLJ34198, sytXIV	ENSG00000143469
KCNH1	eag, eag1, h-eag, hEAG, Kv10.1	ENSG00000143473
DTL	CDT2, DCAF2, L2DTL, RAMP	ENSG00000143476
DYRK3	hYAK3-2, RED, REDK	ENSG00000143479
EIF2D	LGTN	ENSG00000143486
INTS7	C1orf73, DKFZP434B168, INT7	ENSG00000143493
VASH2	FLJ12505	ENSG00000143494
TAF1A	SL1, TAFI48	ENSG00000143498
SMYD2	HSKM-B, KMT3C, ZMYND14	ENSG00000143499
SUSD4	FLJ10052	ENSG00000143502
DUSP10	MKP-5, MKP5	ENSG00000143507
HHIPL2	FLJ13840, KIAA1822L	ENSG00000143512
TP53BP2	53BP2, ASPP2, PPP1R13A	ENSG00000143514
ATP8B2	ATPID, KIAA1137	ENSG00000143515
FLG2	IFPS	ENSG00000143520
CRNN	C1orf10, SEP53	ENSG00000143536
ADAM15	MDC15	ENSG00000143537
JTB	hJT, PAR	ENSG00000143543
RAB13		ENSG00000143545
S100A8	60B8AG, CAGA, CFAG, CGLA, MRP-8, MRP8, P8, S100-A8	ENSG00000143546
TPM3	NEM1, TRK	ENSG00000143549
NUP210L		ENSG00000143552
SNAPIN	BLOC1S7, BORCS3, SNAPAP	ENSG00000143553
SLC27A3	ACSVL3, FATP3, MGC4365	ENSG00000143554
S100A7	PSOR1, S100A7c	ENSG00000143556
UBAP2L	KIAA0144, NICE-4	ENSG00000143569
SLC39A1	ZIP1, ZIRTL	ENSG00000143570
HAX1	HAX-1, HCLSBP1, HS1BP1	ENSG00000143575
CREB3L4	AIbZIP, ATCE1, CREB3, CREB4, hJAL	ENSG00000143578
EFNA3	Ehk1-L, EPLG3, LERK3	ENSG00000143590
AQP10		ENSG00000143595
KCNN3	hSK3, KCa2.3, SKCA3	ENSG00000143603
C1orf43	DKFZp586G1722, NICE-3	ENSG00000143612
GATAD2B	P66beta	ENSG00000143614
ILF2	NF45	ENSG00000143621
RIT1	MGC125864, MGC125865, RIBB, RIT, ROC1	ENSG00000143622
INTS3	C1orf60, FLJ21919, INT3, SOSS-A	ENSG00000143624
PKLR		ENSG00000143627
HCN3	KIAA1535	ENSG00000143630
FLG		ENSG00000143631
ACTA1	ACTA, NEM3	ENSG00000143632
C1orf131	DKFZp547B1713	ENSG00000143633
GALNT2	GalNAc-T2	ENSG00000143641
TTC13	FLJ22584	ENSG00000143643
SCCPDH	CGI-49, NET11	ENSG00000143653
LYST	CHS, CHS1, Mauve	ENSG00000143669
MAP3K21	KIAA1804, MLK4	ENSG00000143674
CEP170	FAM68A, KAB, KIAA0470	ENSG00000143702
ACP1	HAAP, LMW-PTP, LMWPTP	ENSG00000143727
SNAP47	C1orf142, SNAP-47, SVAP1	ENSG00000143740
SRP9		ENSG00000143742
NVL	NVL2	ENSG00000143748
SDE2	C1orf55, FLJ35382	ENSG00000143751
DEGS1	DEGS-1, Des-1, DES1, FADS7, MLD	ENSG00000143753
FBXO28	CENP-30, Fbx28, FLJ10766, KIAA0483	ENSG00000143756
ARF1		ENSG00000143761
LEFTY2	EBAF, LEFTA, LEFTYA, TGFB4	ENSG00000143768
CNIH4	HSPC163	ENSG00000143771
ITPKB	IP3-3KB, IP3KB	ENSG00000143772
GUK1		ENSG00000143774
CDC42BPA	FLJ23347, KIAA0451, MRCK, MRCKA, PK428	ENSG00000143776
CNIH3	CNIH-3, FLJ38993	ENSG00000143786
C1orf35	MGC4174, MMTAG2	ENSG00000143793
MBOAT2	FLJ14415, FLJ90298, LPLAT13, OACT2	ENSG00000143797
PARP1	ADPRT, ARTD1, PARP, PARS, Poly-PARP, PPOL	ENSG00000143799
PSEN2	AD3L, AD4, PS2, STM2	ENSG00000143801
PYCR2	P5CR2	ENSG00000143811
LBR	DHCR14B, TDRD18	ENSG00000143815
WNT9A	WNT14	ENSG00000143816
EPHX1	EPHX	ENSG00000143819
REN		ENSG00000143839
SOX13	ICA12, MGC117216, Sox-13	ENSG00000143842
ETNK2	EKI2, FLJ10761	ENSG00000143845
PPFIA4		ENSG00000143847
PLEKHA6	KIAA0969, PEPP3	ENSG00000143850
PTPN7	HEPTP, LC-PTP	ENSG00000143851
SYT2		ENSG00000143858
ARL8A	ARL10B, FLJ45195, Gie2	ENSG00000143862
OSR1	ODD	ENSG00000143867
GDF7	BMP12	ENSG00000143869
PDIA6	ERp5, P5, TXNDC7	ENSG00000143870
RHOB	ARH6, ARHB, MST081, RHOH6	ENSG00000143878
ATP6V1C2	ATP6C2, VMA5	ENSG00000143882
HNRNPLL	HNRPLL	ENSG00000143889
GALM		ENSG00000143891
CAMKMT	C2orf34, CLNMT	ENSG00000143919
ABCG8	GBD4	ENSG00000143921
EML4	C2orf2, ELP120, ROPP120	ENSG00000143924
CALM2	CAMII, PHKD, PHKD2	ENSG00000143933
CHAC2	GCG1	ENSG00000143942
RPS27A	S27A, Uba80, UBCEP80	ENSG00000143947
WDPCP	BBS15, C2orf86, CPLANE5, fritz, hFrtz	ENSG00000143951
VPS54	HCC8, PPP1R164	ENSG00000143952
REG3G	LPPM429, PAP1B, UNQ429	ENSG00000143954
ASXL2	ASXH2, FLJ10898, KIAA1685	ENSG00000143970
ETAA1	ETAA16	ENSG00000143971
SNRPG	Sm-G	ENSG00000143977
ABHD1	FLJ36128, LABH1	ENSG00000143994
MEIS1		ENSG00000143995
TRIM43B		ENSG00000144010
TRIM43	TRIM43A	ENSG00000144015
CIAO1	CIA1, WDR39	ENSG00000144021
ZNF514	FLJ14457	ENSG00000144026
SNRNP200	ASCC3L1, BRR2, HELIC2, KIAA0788, RP33, U5-200KD	ENSG00000144028
MRPS5	MRP-S5, S5mt	ENSG00000144029
ANKRD53	FLJ12056, FLJ36160	ENSG00000144031
TPRKB	CGI-121, CGI121	ENSG00000144034
